unique_id,ds,NBEATS,NHITS
hotel_56,2023-07-02,0.8807776,0.8912871
hotel_56,2023-07-03,0.9393683,0.9205369
hotel_56,2023-07-04,1.006922,0.9661838
hotel_56,2023-07-05,0.9474432,0.96759015
hotel_56,2023-07-06,0.9289969,0.9402953
hotel_56,2023-07-07,0.9898182,0.95129275
hotel_56,2023-07-08,0.9964021,0.9682526
hotel_56,2023-07-09,0.9040567,0.9028479
hotel_56,2023-07-10,0.9405618,0.92063254
hotel_56,2023-07-11,0.9916946,0.96631247
hotel_56,2023-07-12,0.9427246,0.93825173
hotel_56,2023-07-13,0.91869307,0.9185418
hotel_56,2023-07-14,0.9894418,0.9664316
hotel_56,2023-07-15,0.992944,0.955768
hotel_56,2023-07-16,0.8912763,0.90034163
hotel_56,2023-07-17,0.94038063,0.91639364
hotel_56,2023-07-18,0.9995073,0.9587986
hotel_56,2023-07-19,0.9518415,0.9440643
hotel_56,2023-07-20,0.91774243,0.9103952
hotel_56,2023-07-21,0.98547363,0.9524146
hotel_56,2023-07-22,0.972191,0.9625243
hotel_56,2023-07-23,0.88855886,0.90942514
hotel_56,2023-07-24,0.92226404,0.9170074
hotel_56,2023-07-25,0.9912429,0.94725585
hotel_56,2023-07-26,0.94557184,0.9478279
hotel_56,2023-07-27,0.9288076,0.92668617
hotel_56,2023-07-28,0.9990465,0.96848017
hotel_63,2023-07-01,0.942817,0.8935855
hotel_63,2023-07-02,0.6906704,0.70209044
hotel_63,2023-07-03,0.7164384,0.70775336
hotel_63,2023-07-04,0.80637807,0.76537776
hotel_63,2023-07-05,0.83008456,0.84582996
hotel_63,2023-07-06,0.8151495,0.85121644
hotel_63,2023-07-07,0.9052964,0.89511144
hotel_63,2023-07-08,0.9470575,0.89563715
hotel_63,2023-07-09,0.70572364,0.7347328
hotel_63,2023-07-10,0.7129687,0.70803726
hotel_63,2023-07-11,0.81971776,0.78151816
hotel_63,2023-07-12,0.8392261,0.8129938
hotel_63,2023-07-13,0.82795864,0.83580434
hotel_63,2023-07-14,0.91386676,0.90249735
hotel_63,2023-07-15,0.9662862,0.9019529
hotel_63,2023-07-16,0.6919225,0.73077893
hotel_63,2023-07-17,0.71787024,0.72527415
hotel_63,2023-07-18,0.81132984,0.7929916
hotel_63,2023-07-19,0.8351767,0.8337944
hotel_63,2023-07-20,0.825907,0.83079535
hotel_63,2023-07-21,0.9025348,0.90546983
hotel_63,2023-07-22,0.9740923,0.91124934
hotel_63,2023-07-23,0.71363723,0.7628793
hotel_63,2023-07-24,0.72622645,0.7200069
hotel_63,2023-07-25,0.8189793,0.77741975
hotel_63,2023-07-26,0.85983187,0.83270806
hotel_63,2023-07-27,0.84353566,0.84015775
hotel_63,2023-07-28,0.91314745,0.917573
hotel_7,2023-07-01,0.4792373,0.5621394
hotel_7,2023-07-02,0.423433,0.4305559
hotel_7,2023-07-03,0.3972032,0.41901267
hotel_7,2023-07-04,0.38668165,0.414891
hotel_7,2023-07-05,0.46185523,0.46161824
hotel_7,2023-07-06,0.5598686,0.5602706
hotel_7,2023-07-07,0.6075034,0.65254265
hotel_7,2023-07-08,0.4593334,0.528404
hotel_7,2023-07-09,0.4301955,0.41421786
hotel_7,2023-07-10,0.37990868,0.42823237
hotel_7,2023-07-11,0.40484697,0.4372646
hotel_7,2023-07-12,0.5120094,0.49423277
hotel_7,2023-07-13,0.59207594,0.5754088
hotel_7,2023-07-14,0.6178437,0.6422145
hotel_7,2023-07-15,0.4756365,0.5220541
hotel_7,2023-07-16,0.4102321,0.40923077
hotel_7,2023-07-17,0.42108646,0.42623475
hotel_7,2023-07-18,0.41945726,0.45021045
hotel_7,2023-07-19,0.50202227,0.49917835
hotel_7,2023-07-20,0.62708944,0.6026838
hotel_7,2023-07-21,0.66830623,0.6545674
hotel_7,2023-07-22,0.4666416,0.5409588
hotel_7,2023-07-23,0.4535246,0.43846115
hotel_7,2023-07-24,0.3973491,0.4452848
hotel_7,2023-07-25,0.44572002,0.47490317
hotel_7,2023-07-26,0.5476648,0.50376093
hotel_7,2023-07-27,0.5994267,0.5988727
hotel_7,2023-07-28,0.6423131,0.6630661
hotel_70,2023-07-01,0.8164736,0.80362105
hotel_70,2023-07-02,0.700832,0.7166777
hotel_70,2023-07-03,0.6863113,0.6835215
hotel_70,2023-07-04,0.7025855,0.68268144
hotel_70,2023-07-05,0.6959908,0.6994334
hotel_70,2023-07-06,0.7317997,0.7209198
hotel_70,2023-07-07,0.7560679,0.76034427
hotel_70,2023-07-08,0.7604388,0.7489955
hotel_70,2023-07-09,0.69211084,0.6888325
hotel_70,2023-07-10,0.67203355,0.6627089
hotel_70,2023-07-11,0.69085795,0.6686236
hotel_70,2023-07-12,0.69477034,0.6752035
hotel_70,2023-07-13,0.70602536,0.7031815
hotel_70,2023-07-14,0.74265546,0.75027037
hotel_70,2023-07-15,0.75638753,0.73463964
hotel_70,2023-07-16,0.66477716,0.6735725
hotel_70,2023-07-17,0.64156544,0.6529509
hotel_70,2023-07-18,0.68353873,0.666649
hotel_70,2023-07-19,0.6983434,0.6871952
hotel_70,2023-07-20,0.70142394,0.7039422
hotel_70,2023-07-21,0.7475085,0.75135314
hotel_70,2023-07-22,0.7460504,0.74663985
hotel_70,2023-07-23,0.68553853,0.67903703
hotel_70,2023-07-24,0.6685451,0.66035366
hotel_70,2023-07-25,0.6752728,0.67681944
hotel_70,2023-07-26,0.68182516,0.6910158
hotel_70,2023-07-27,0.7127642,0.71315205
hotel_70,2023-07-28,0.7502712,0.7575564
hotel_77,2022-12-27,0.00040930137,-6.335229e-05
hotel_77,2022-12-28,0.0031714141,-0.0023463592
hotel_77,2022-12-29,-0.00022285618,-0.00043588318
hotel_77,2022-12-30,0.0005434416,0.00092213135
hotel_77,2022-12-31,0.0019668266,0.00046804454
hotel_77,2023-01-01,0.0007070508,-0.00016352534
hotel_77,2023-01-02,0.0011648387,-0.0020193532
hotel_77,2023-01-03,-0.006574247,-0.0019147377
hotel_77,2023-01-04,0.0034362152,-0.003511291
hotel_77,2023-01-05,0.0012202449,-0.0011059493
hotel_77,2023-01-06,0.0026689377,-0.0010844702
hotel_77,2023-01-07,4.9040886e-05,-0.004314963
hotel_77,2023-01-08,0.001345545,-0.0059562903
hotel_77,2023-01-09,-0.0023511834,-0.00215341
hotel_77,2023-01-10,-0.0008010082,-0.0055578128
hotel_77,2023-01-11,-0.0015624147,-0.002983883
hotel_77,2023-01-12,-0.0012223236,0.0007977085
hotel_77,2023-01-13,-0.0031329338,0.0003454145
hotel_77,2023-01-14,0.0006482266,-0.0023419894
hotel_77,2023-01-15,0.0027352497,-0.004947832
hotel_77,2023-01-16,0.0011081658,0.00014599599
hotel_77,2023-01-17,-0.003716126,0.00016708113
hotel_77,2023-01-18,0.003280148,-0.0015286244
hotel_77,2023-01-19,-0.00012962148,-0.00028146058
hotel_77,2023-01-20,-0.00628078,-0.0015371386
hotel_77,2023-01-21,0.0033628792,-0.0011576489
hotel_77,2023-01-22,0.0031826869,-0.0036865082
hotel_77,2023-01-23,0.0016349554,-0.0045713056
hotel_84,2023-07-01,0.96262,0.939711
hotel_84,2023-07-02,0.92082894,0.91961235
hotel_84,2023-07-03,0.86689335,0.8830056
hotel_84,2023-07-04,0.8725215,0.86276275
hotel_84,2023-07-05,0.8901737,0.8697624
hotel_84,2023-07-06,0.884367,0.8739861
hotel_84,2023-07-07,0.9121297,0.89992195
hotel_84,2023-07-08,0.95932174,0.9335575
hotel_84,2023-07-09,0.93324274,0.9186853
hotel_84,2023-07-10,0.8787039,0.87549424
hotel_84,2023-07-11,0.88687366,0.85912913
hotel_84,2023-07-12,0.8973736,0.8615461
hotel_84,2023-07-13,0.89412004,0.87018776
hotel_84,2023-07-14,0.90361893,0.9008261
hotel_84,2023-07-15,0.95004624,0.92938495
hotel_84,2023-07-16,0.9206911,0.90611154
hotel_84,2023-07-17,0.8709676,0.87061524
hotel_84,2023-07-18,0.88712734,0.86636925
hotel_84,2023-07-19,0.8875398,0.8672028
hotel_84,2023-07-20,0.87604773,0.8648196
hotel_84,2023-07-21,0.90527636,0.90338135
hotel_84,2023-07-22,0.94875395,0.9294272
hotel_84,2023-07-23,0.92275476,0.90970343
hotel_84,2023-07-24,0.8721039,0.8767069
hotel_84,2023-07-25,0.87926614,0.8625369
hotel_84,2023-07-26,0.88757235,0.8716512
hotel_84,2023-07-27,0.8950531,0.8746039
hotel_84,2023-07-28,0.90497893,0.9093254
hotel_91,2023-07-01,0.91059345,0.9044059
hotel_91,2023-07-02,0.8265536,0.86094576
hotel_91,2023-07-03,0.8719524,0.89075994
hotel_91,2023-07-04,0.96841836,0.95488393
hotel_91,2023-07-05,0.9547235,0.9903598
hotel_91,2023-07-06,0.89312243,0.94167686
hotel_91,2023-07-07,0.9021901,0.89667517
hotel_91,2023-07-08,0.9306507,0.92340827
hotel_91,2023-07-09,0.8448367,0.8776614
hotel_91,2023-07-10,0.88346505,0.89825046
hotel_91,2023-07-11,0.9627699,0.95878655
hotel_91,2023-07-12,0.9506614,0.96862066
hotel_91,2023-07-13,0.8830386,0.92824113
hotel_91,2023-07-14,0.90686023,0.91077363
hotel_91,2023-07-15,0.9259195,0.9201421
hotel_91,2023-07-16,0.84666306,0.8858544
hotel_91,2023-07-17,0.8670194,0.9020488
hotel_91,2023-07-18,0.9680674,0.9508651
hotel_91,2023-07-19,0.9566821,0.9682724
